,AST_allowed_ave,AST_allowed_tot,AST_ave,AST_away_allowed_ave,AST_away_allowed_tot,AST_away_ave,AST_away_tot,AST_home_allowed_ave,AST_home_allowed_tot,AST_home_ave,AST_home_tot,AST_tot,LOSSES,LOSSES_AWAY,LOSSES_HOME,PTS_allowed_ave,PTS_allowed_tot,PTS_ave,PTS_away_allowed_ave,PTS_away_allowed_tot,PTS_away_ave,PTS_away_tot,PTS_home_allowed_ave,PTS_home_allowed_tot,PTS_home_ave,PTS_home_tot,PTS_tot,REB_allowed_ave,REB_allowed_tot,REB_ave,REB_away_allowed_ave,REB_away_allowed_tot,REB_away_ave,REB_away_tot,REB_home_allowed_ave,REB_home_allowed_tot,REB_home_ave,REB_home_tot,REB_tot,SEASON,TEAM_ABBREVIATION,TEAM_ID,WINS,WINS_AWAY,WINS_HOME,WIN_PCT,WIN_PCT_AWAY,WIN_PCT_HOME
0,21.98780487804878,1803.0,20.097560975609756,23.658536585365855,970.0,19.902439024390244,816.0,20.317073170731707,833.0,20.29268292682927,832.0,1648.0,54.0,31.0,23.0,97.46341463414635,7992.0,92.8170731707317,99.48780487804878,4079.0,89.46341463414635,3668.0,95.4390243902439,3913.0,96.17073170731707,3943.0,7611.0,43.08536585365854,3533.0,42.71951219512195,44.78048780487805,1836.0,41.073170731707314,1684.0,41.390243902439025,1697.0,44.36585365853659,1819.0,3503.0,2003.0,ATL,1610612737.0,28.0,10.0,18.0,0.34146341463414637,0.24390243902439024,0.43902439024390244
0,22.951219512195124,1882.0,20.524390243902438,23.75609756097561,974.0,20.365853658536587,835.0,22.146341463414632,908.0,20.682926829268293,848.0,1683.0,46.0,24.0,22.0,96.70731707317073,7930.0,95.2560975609756,97.5609756097561,4000.0,94.51219512195122,3875.0,95.85365853658537,3930.0,96.0,3936.0,7811.0,43.81707317073171,3593.0,40.13414634146341,44.63414634146341,1830.0,38.390243902439025,1574.0,43.0,1763.0,41.8780487804878,1717.0,3291.0,2003.0,BOS,1610612738.0,36.0,17.0,19.0,0.43902439024390244,0.4146341463414634,0.4634146341463415
0,21.829268292682926,1790.0,20.926829268292682,21.75609756097561,892.0,18.878048780487806,774.0,21.902439024390244,898.0,22.975609756097562,942.0,1716.0,41.0,25.0,16.0,91.91463414634147,7537.0,91.8170731707317,93.63414634146342,3839.0,89.97560975609755,3689.0,90.1951219512195,3698.0,93.65853658536585,3840.0,7529.0,42.0609756097561,3449.0,42.792682926829265,42.292682926829265,1734.0,43.02439024390244,1764.0,41.829268292682926,1715.0,42.5609756097561,1745.0,3509.0,2003.0,NOP,1610612740.0,41.0,16.0,25.0,0.5,0.3902439024390244,0.6097560975609756
0,23.048780487804876,1890.0,21.865853658536587,23.975609756097562,983.0,20.975609756097562,860.0,22.121951219512194,907.0,22.75609756097561,933.0,1793.0,59.0,32.0,27.0,96.04878048780488,7876.0,89.6951219512195,98.41463414634147,4035.0,90.48780487804878,3710.0,93.6829268292683,3841.0,88.90243902439025,3645.0,7355.0,45.03658536585366,3693.0,43.5,44.1219512195122,1809.0,41.34146341463415,1695.0,45.951219512195124,1884.0,45.65853658536585,1872.0,3567.0,2003.0,CHI,1610612741.0,23.0,9.0,14.0,0.2804878048780488,0.21951219512195122,0.34146341463414637
0,23.621951219512194,1937.0,23.9390243902439,25.341463414634145,1039.0,23.121951219512194,948.0,21.902439024390244,898.0,24.75609756097561,1015.0,1963.0,30.0,25.0,5.0,100.7560975609756,8262.0,105.1951219512195,103.09756097560975,4227.0,100.90243902439025,4137.0,98.41463414634147,4035.0,109.48780487804878,4489.0,8626.0,43.548780487804876,3571.0,45.26829268292683,44.390243902439025,1820.0,43.853658536585364,1798.0,42.707317073170735,1751.0,46.68292682926829,1914.0,3712.0,2003.0,DAL,1610612742.0,52.0,16.0,36.0,0.6341463414634146,0.3902439024390244,0.8780487804878049
0,23.548780487804876,1931.0,21.878048780487806,23.097560975609756,947.0,18.29268292682927,750.0,24.0,984.0,25.463414634146343,1044.0,1794.0,39.0,27.0,12.0,96.14634146341463,7884.0,97.21951219512195,98.53658536585365,4040.0,93.92682926829268,3851.0,93.7560975609756,3844.0,100.51219512195122,4121.0,7972.0,42.9390243902439,3521.0,42.31707317073171,42.170731707317074,1729.0,40.707317073170735,1669.0,43.707317073170735,1792.0,43.926829268292686,1801.0,3470.0,2003.0,DEN,1610612743.0,43.0,14.0,29.0,0.524390243902439,0.34146341463414637,0.7073170731707317
0,20.597560975609756,1689.0,19.25609756097561,21.146341463414632,867.0,18.024390243902438,739.0,20.048780487804876,822.0,20.48780487804878,840.0,1579.0,37.0,23.0,14.0,88.04878048780488,7220.0,89.78048780487805,89.6829268292683,3677.0,88.6829268292683,3636.0,86.41463414634147,3543.0,90.8780487804878,3726.0,7362.0,39.73170731707317,3258.0,42.609756097560975,41.02439024390244,1682.0,41.58536585365854,1705.0,38.4390243902439,1576.0,43.63414634146341,1789.0,3494.0,2003.0,HOU,1610612745.0,45.0,18.0,27.0,0.5487804878048781,0.43902439024390244,0.6585365853658537
0,22.853658536585368,1874.0,20.158536585365855,22.804878048780488,935.0,19.26829268292683,790.0,22.902439024390244,939.0,21.048780487804876,863.0,1653.0,54.0,31.0,23.0,99.35365853658537,8147.0,94.76829268292683,100.5609756097561,4123.0,93.39024390243902,3829.0,98.14634146341463,4024.0,96.14634146341463,3942.0,7771.0,41.353658536585364,3391.0,43.47560975609756,42.09756097560975,1726.0,43.78048780487805,1795.0,40.609756097560975,1665.0,43.170731707317074,1770.0,3565.0,2003.0,LAC,1610612746.0,28.0,10.0,18.0,0.34146341463414637,0.24390243902439024,0.43902439024390244
0,20.829268292682926,1708.0,23.75609756097561,21.78048780487805,893.0,22.878048780487806,938.0,19.878048780487806,815.0,24.634146341463413,1010.0,1948.0,26.0,19.0,7.0,94.29268292682927,7732.0,98.1951219512195,98.90243902439025,4055.0,97.21951219512195,3986.0,89.6829268292683,3677.0,99.17073170731707,4066.0,8052.0,42.4390243902439,3480.0,43.1219512195122,43.46341463414634,1782.0,42.048780487804876,1724.0,41.41463414634146,1698.0,44.19512195121951,1812.0,3536.0,2003.0,LAL,1610612747.0,56.0,22.0,34.0,0.6829268292682927,0.5365853658536586,0.8292682926829268
0,18.609756097560975,1526.0,19.085365853658537,20.853658536585368,855.0,19.48780487804878,799.0,16.365853658536587,671.0,18.682926829268293,766.0,1565.0,40.0,28.0,12.0,89.7439024390244,7359.0,90.26829268292683,91.46341463414635,3750.0,87.4390243902439,3585.0,88.02439024390245,3609.0,93.09756097560975,3817.0,7402.0,41.19512195121951,3378.0,41.451219512195124,42.09756097560975,1726.0,40.8780487804878,1676.0,40.292682926829265,1652.0,42.02439024390244,1723.0,3399.0,2003.0,MIA,1610612748.0,42.0,13.0,29.0,0.5121951219512195,0.3170731707317073,0.7073170731707317
0,22.804878048780488,1870.0,22.829268292682926,23.195121951219512,951.0,21.097560975609756,865.0,22.414634146341463,919.0,24.5609756097561,1007.0,1872.0,41.0,27.0,14.0,96.97560975609755,7952.0,98.03658536585365,97.02439024390245,3978.0,94.95121951219512,3893.0,96.92682926829268,3974.0,101.1219512195122,4146.0,8039.0,42.73170731707317,3504.0,42.21951219512195,44.4390243902439,1822.0,41.68292682926829,1709.0,41.02439024390244,1682.0,42.75609756097561,1753.0,3462.0,2003.0,MIL,1610612749.0,41.0,14.0,27.0,0.5,0.34146341463414637,0.6585365853658537
0,20.74390243902439,1701.0,23.048780487804876,20.048780487804876,822.0,20.48780487804878,840.0,21.4390243902439,879.0,25.609756097560975,1050.0,1890.0,24.0,14.0,10.0,89.0609756097561,7303.0,94.54878048780488,90.65853658536585,3717.0,93.51219512195122,3834.0,87.46341463414635,3586.0,95.58536585365853,3919.0,7753.0,41.47560975609756,3401.0,42.926829268292686,42.78048780487805,1754.0,41.951219512195124,1720.0,40.170731707317074,1647.0,43.90243902439025,1800.0,3520.0,2003.0,MIN,1610612750.0,58.0,27.0,31.0,0.7073170731707317,0.6585365853658537,0.7560975609756098
0,19.841463414634145,1627.0,24.5,20.414634146341463,837.0,23.341463414634145,957.0,19.26829268292683,790.0,25.658536585365855,1052.0,2009.0,35.0,22.0,13.0,87.7560975609756,7196.0,90.2560975609756,89.90243902439025,3686.0,88.0,3608.0,85.60975609756098,3510.0,92.51219512195122,3793.0,7401.0,40.78048780487805,3344.0,40.670731707317074,42.90243902439025,1759.0,39.41463414634146,1616.0,38.65853658536585,1585.0,41.926829268292686,1719.0,3335.0,2003.0,BKN,1610612751.0,47.0,19.0,28.0,0.573170731707317,0.4634146341463415,0.6829268292682927
0,20.4390243902439,1676.0,20.670731707317074,22.414634146341463,919.0,21.195121951219512,869.0,18.463414634146343,757.0,20.146341463414632,826.0,1695.0,43.0,25.0,18.0,93.45121951219512,7663.0,91.97560975609755,93.90243902439025,3850.0,90.46341463414635,3709.0,93.0,3813.0,93.48780487804878,3833.0,7542.0,41.390243902439025,3394.0,42.59756097560975,42.5609756097561,1745.0,40.4390243902439,1658.0,40.21951219512195,1649.0,44.75609756097561,1835.0,3493.0,2003.0,NYK,1610612752.0,39.0,16.0,23.0,0.47560975609756095,0.3902439024390244,0.5609756097560976
0,24.4390243902439,2004.0,19.317073170731707,26.29268292682927,1078.0,20.21951219512195,829.0,22.585365853658537,926.0,18.414634146341463,755.0,1584.0,61.0,31.0,30.0,101.0609756097561,8287.0,94.03658536585365,102.14634146341463,4188.0,93.48780487804878,3833.0,99.97560975609755,4099.0,94.58536585365853,3878.0,7711.0,44.41463414634146,3642.0,40.890243902439025,46.51219512195122,1907.0,40.829268292682926,1674.0,42.31707317073171,1735.0,40.951219512195124,1679.0,3353.0,2003.0,ORL,1610612753.0,21.0,10.0,11.0,0.25609756097560976,0.24390243902439024,0.2682926829268293
0,20.109756097560975,1649.0,21.634146341463413,20.365853658536587,835.0,19.902439024390244,816.0,19.853658536585368,814.0,23.365853658536587,958.0,1774.0,21.0,14.0,7.0,85.6219512195122,7021.0,91.3780487804878,88.92682926829268,3646.0,91.46341463414635,3750.0,82.3170731707317,3375.0,91.29268292682927,3743.0,7493.0,40.1219512195122,3290.0,41.670731707317074,40.0,1640.0,40.34146341463415,1654.0,40.24390243902439,1650.0,43.0,1763.0,3417.0,2003.0,IND,1610612754.0,61.0,27.0,34.0,0.7439024390243902,0.6585365853658537,0.8292682926829268
0,21.304878048780488,1747.0,20.0,21.951219512195124,900.0,19.536585365853657,801.0,20.658536585365855,847.0,20.463414634146343,839.0,1640.0,49.0,29.0,20.0,90.47560975609755,7419.0,87.98780487804878,93.39024390243902,3829.0,87.53658536585365,3589.0,87.5609756097561,3590.0,88.4390243902439,3626.0,7215.0,41.390243902439025,3394.0,40.84146341463415,42.4390243902439,1740.0,39.41463414634146,1616.0,40.34146341463415,1654.0,42.26829268292683,1733.0,3349.0,2003.0,PHI,1610612755.0,33.0,12.0,21.0,0.4024390243902439,0.2926829268292683,0.5121951219512195
0,21.463414634146343,1760.0,19.341463414634145,23.658536585365855,970.0,20.146341463414632,826.0,19.26829268292683,790.0,18.536585365853657,760.0,1586.0,53.0,30.0,23.0,97.92682926829268,8030.0,94.1829268292683,99.39024390243902,4075.0,92.60975609756098,3797.0,96.46341463414635,3955.0,95.7560975609756,3926.0,7723.0,43.75609756097561,3588.0,40.609756097560975,44.951219512195124,1843.0,40.41463414634146,1657.0,42.5609756097561,1745.0,40.80487804878049,1673.0,3330.0,2003.0,PHX,1610612756.0,29.0,11.0,18.0,0.35365853658536583,0.2682926829268293,0.43902439024390244
0,23.317073170731707,1912.0,21.5609756097561,22.51219512195122,923.0,19.4390243902439,797.0,24.121951219512194,989.0,23.682926829268293,971.0,1768.0,41.0,25.0,16.0,92.0,7544.0,90.73170731707317,92.70731707317073,3801.0,88.41463414634147,3625.0,91.29268292682927,3743.0,93.04878048780488,3815.0,7440.0,40.34146341463415,3308.0,41.65853658536585,41.58536585365854,1705.0,41.609756097560975,1706.0,39.09756097560975,1603.0,41.707317073170735,1710.0,3416.0,2003.0,POR,1610612757.0,41.0,16.0,25.0,0.5,0.3902439024390244,0.6097560975609756
0,21.25609756097561,1743.0,26.24390243902439,23.75609756097561,974.0,26.170731707317074,1073.0,18.75609756097561,769.0,26.317073170731707,1079.0,2152.0,27.0,20.0,7.0,97.82926829268293,8022.0,102.84146341463415,100.36585365853658,4115.0,99.97560975609755,4099.0,95.29268292682927,3907.0,105.70731707317073,4334.0,8433.0,43.91463414634146,3601.0,41.21951219512195,45.73170731707317,1875.0,40.34146341463415,1654.0,42.09756097560975,1726.0,42.09756097560975,1726.0,3380.0,2003.0,SAC,1610612758.0,55.0,21.0,34.0,0.6707317073170732,0.5121951219512195,0.8292682926829268
0,17.304878048780488,1419.0,20.4390243902439,18.390243902439025,754.0,19.926829268292682,817.0,16.21951219512195,665.0,20.951219512195124,859.0,1676.0,25.0,17.0,8.0,84.2560975609756,6909.0,91.47560975609755,85.58536585365853,3509.0,88.6829268292683,3636.0,82.92682926829268,3400.0,94.26829268292683,3865.0,7501.0,41.073170731707314,3368.0,45.09756097560975,42.390243902439025,1738.0,45.02439024390244,1846.0,39.75609756097561,1630.0,45.170731707317074,1852.0,3698.0,2003.0,SAS,1610612759.0,57.0,24.0,33.0,0.6951219512195121,0.5853658536585366,0.8048780487804879
0,21.073170731707318,1728.0,21.73170731707317,22.146341463414632,908.0,21.463414634146343,880.0,20.0,820.0,22.0,902.0,1782.0,45.0,25.0,20.0,97.7560975609756,8016.0,97.1219512195122,99.4390243902439,4077.0,96.46341463414635,3955.0,96.07317073170732,3939.0,97.78048780487805,4009.0,7964.0,42.65853658536585,3498.0,39.329268292682926,43.36585365853659,1778.0,39.24390243902439,1609.0,41.951219512195124,1720.0,39.41463414634146,1616.0,3225.0,2003.0,OKC,1610612760.0,37.0,16.0,21.0,0.45121951219512196,0.3902439024390244,0.5121951219512195
0,18.51219512195122,1518.0,19.195121951219512,19.390243902439025,795.0,18.634146341463413,764.0,17.634146341463413,723.0,19.75609756097561,810.0,1574.0,49.0,26.0,23.0,88.45121951219512,7253.0,85.4390243902439,88.85365853658537,3643.0,83.51219512195122,3424.0,88.04878048780488,3610.0,87.36585365853658,3582.0,7006.0,45.073170731707314,3696.0,39.6219512195122,46.609756097560975,1911.0,39.21951219512195,1608.0,43.53658536585366,1785.0,40.02439024390244,1641.0,3249.0,2003.0,TOR,1610612761.0,33.0,15.0,18.0,0.4024390243902439,0.36585365853658536,0.43902439024390244
