,AWAY_PTS,AWAY_TEAM,DATE,HOME_PTS,HOME_TEAM,HOME_TEAM_WINS,MARGIN,OLD_INDEX,PRED_AWAY_PTS,PRED_AWAY_WIN_PROB,PRED_HOME_PTS,PRED_HOME_TEAM_WINS,PRED_HOME_WIN_PROB
0,87,ORL,2013-10-29,97,IND,1,0.04014336917562722,0,88.25,0.12903225806451613,100.25,1.0,0.9111111111111111
1,95,CHI,2013-10-29,107,MIA,1,0.044642857142857206,2,91.75,0.35714285714285715,96.75,1.0,0.6875
2,103,LAC,2013-10-29,116,LAL,1,0.03876773970231917,4,106.0,0.8518518518518519,96.5,0.0,0.18691588785046728
3,110,MIA,2013-10-30,114,PHI,1,0.05633538331533727,6,102.25,0.888268156424581,92.75,0.0,0.16806722689075632
4,94,BKN,2013-10-30,98,CLE,1,0.03337505214851899,8,98.5,0.6078431372549019,95.5,0.0,0.425531914893617
5,87,BOS,2013-10-30,93,TOR,1,0.040728013236604355,10,90.75,0.24691358024691357,98.75,1.0,0.7938144329896907
6,102,WAS,2013-10-30,113,DET,1,0.037878787878787845,12,93.25,0.45454545454545453,95.75,1.0,0.5833333333333334
7,83,MIL,2013-10-30,90,NYK,1,0.03901895206243022,14,94.25,0.2564102564102564,102.25,1.0,0.782608695652174
8,83,CHA,2013-10-30,96,HOU,1,0.030692107013146508,16,93.5,0.08849557522123894,106.5,1.0,0.9421965317919075
9,115,ORL,2013-10-30,120,MIN,1,0.05633538331533727,18,94.25,0.16806722689075632,104.75,1.0,0.888268156424581
10,95,IND,2013-10-30,90,NOP,0,0.045454545454545414,20,93.0,0.5,94.5,1.0,0.5454545454545454
11,109,ATL,2013-10-30,118,DAL,1,0.03801377999524824,22,95.0,0.32786885245901637,101.0,1.0,0.7101449275362319
12,94,MEM,2013-10-30,101,SAS,1,0.03686635944700467,24,91.5,0.3225806451612903,97.5,1.0,0.7142857142857143
13,101,OKC,2013-10-30,98,UTA,0,0.04102564102564088,26,99.0,0.7333333333333333,92.5,0.0,0.3076923076923077
14,91,POR,2013-10-30,104,PHX,1,0.039682539682539764,28,101.5,0.6825396825396826,96.0,0.0,0.35714285714285715
15,88,DEN,2013-10-30,90,SAC,1,0.037878787878787845,30,100.5,0.45454545454545453,103.0,1.0,0.5833333333333334
