,AWAY_PTS,AWAY_TEAM,DATE,HOME_PTS,HOME_TEAM,HOME_TEAM_WINS,MARGIN,OLD_INDEX,PRED_AWAY_PTS,PRED_AWAY_WIN_PROB,PRED_HOME_PTS,PRED_HOME_TEAM_WINS,PRED_HOME_WIN_PROB
0,87,PHI,2018-10-16,105,BOS,1,0.03703703703703698,0,103.5,0.37037037037037035,108.0,1.0,0.6666666666666666
1,100,OKC,2018-10-16,108,GSW,1,0.03997122893547056,2,104.25,0.12330456226880394,116.25,1.0,0.9166666666666666
2,83,MEM,2018-10-17,111,IND,1,0.04018797601685309,4,98.5,0.27548209366391185,106.0,1.0,0.7647058823529411
3,113,MIL,2018-10-17,112,CHA,0,0.03247757500773263,6,112.5,0.6226415094339622,109.5,0.0,0.4098360655737705
4,101,MIA,2018-10-17,104,ORL,1,0.03958436417615041,8,105.25,0.574468085106383,102.75,0.0,0.46511627906976744
5,100,BKN,2018-10-17,103,DET,1,0.039853267515058244,10,103.5,0.3215434083601286,109.5,1.0,0.7183098591549296
6,107,ATL,2018-10-17,126,NYK,1,0.03285543608124253,12,106.25,0.4032258064516129,110.25,1.0,0.6296296296296297
7,104,CLE,2018-10-17,116,TOR,1,0.040054148749800955,14,101.5,0.11148272017837235,114.0,1.0,0.9285714285714286
8,131,NOP,2018-10-17,112,HOU,0,0.039831163426669036,16,112.5,0.26455026455026454,120.5,1.0,0.7752808988764045
9,108,MIN,2018-10-17,112,SAS,1,0.03628117913832196,18,104.75,0.4444444444444444,107.25,1.0,0.5918367346938775
10,123,UTA,2018-10-17,117,SAC,0,0.03980815347721833,20,107.0,0.8,98.5,0.0,0.23980815347721823
11,100,DAL,2018-10-17,121,PHX,1,0.04140786749482395,22,107.5,0.5652173913043478,105.0,0.0,0.47619047619047616
12,107,DEN,2018-10-17,98,LAC,0,0.04336043360433606,24,112.25,0.5555555555555556,110.25,0.0,0.4878048780487805
13,108,CHI,2018-10-18,127,PHI,1,0.04004801920768308,26,104.25,0.12004801920768307,116.75,1.0,0.92
14,113,MIA,2018-10-18,112,WAS,0,0.03968253968253954,28,104.5,0.31746031746031744,110.5,1.0,0.7222222222222222
15,119,LAL,2018-10-18,128,POR,1,0.03337505214851899,30,110.5,0.425531914893617,113.5,1.0,0.6078431372549019
16,120,CHA,2018-10-19,88,ORL,0,0.04336043360433606,32,108.5,0.5555555555555556,107.0,0.0,0.4878048780487805
17,105,NYK,2018-10-19,107,BKN,1,0.03285543608124253,34,109.0,0.4032258064516129,113.0,1.0,0.6296296296296297
18,129,SAC,2018-10-19,149,NOP,1,0.039980961446929975,36,110.5,0.13089005235602094,122.0,1.0,0.9090909090909091
19,101,BOS,2018-10-19,113,TOR,1,0.03337505214851899,38,103.25,0.425531914893617,106.25,1.0,0.6078431372549019
20,123,CLE,2018-10-19,131,MIN,1,0.03993855606758823,40,107.25,0.2304147465437788,115.75,1.0,0.8095238095238095
21,117,ATL,2018-10-19,131,MEM,1,0.04032564863425403,42,105.0,0.29673590504451036,112.0,1.0,0.7435897435897436
22,101,IND,2018-10-19,118,MIL,1,0.03247757500773263,44,106.75,0.4098360655737705,110.25,1.0,0.6226415094339622
23,124,GSW,2018-10-19,123,UTA,0,0.03958436417615041,46,110.0,0.574468085106383,107.5,0.0,0.46511627906976744
24,92,OKC,2018-10-19,108,LAC,1,0.034782608695652195,48,105.5,0.43478260869565216,108.5,1.0,0.6
25,117,TOR,2018-10-20,113,WAS,0,0.04140786749482395,50,108.75,0.47619047619047616,110.75,1.0,0.5652173913043478
26,112,BKN,2018-10-20,132,IND,1,0.03980562448304381,52,103.25,0.24813895781637718,111.25,1.0,0.7916666666666666
27,115,ORL,2018-10-20,116,PHI,1,0.040054148749800955,54,102.5,0.11148272017837235,115.0,1.0,0.9285714285714286
28,103,BOS,2018-10-20,101,NYK,0,0.039944903581267344,56,110.0,0.8333333333333334,100.5,0.0,0.2066115702479339
29,113,CHA,2018-10-20,112,MIA,0,0.03337505214851899,58,108.5,0.425531914893617,112.0,1.0,0.6078431372549019
30,118,DET,2018-10-20,116,CHI,0,0.03703703703703698,60,111.0,0.6666666666666666,106.0,0.0,0.37037037037037035
31,136,MIN,2018-10-20,140,DAL,1,0.04140786749482395,62,109.25,0.47619047619047616,111.25,1.0,0.5652173913043478
32,91,PHX,2018-10-20,119,DEN,1,0.04000198767640639,64,107.0,0.17889087656529518,117.5,1.0,0.8611111111111112
33,108,SAS,2018-10-20,121,POR,1,0.039778206364513125,66,104.5,0.36764705882352944,109.5,1.0,0.6721311475409836
34,124,HOU,2018-10-20,115,LAL,0,0.03205128205128216,68,120.5,0.6153846153846154,117.0,0.0,0.4166666666666667
35,133,ATL,2018-10-21,111,CLE,0,0.03980562448304381,70,112.25,0.24813895781637718,120.25,1.0,0.7916666666666666
36,131,SAC,2018-10-21,120,OKC,0,0.03997689196995968,72,106.0,0.1733102253032929,116.5,1.0,0.8666666666666667
37,98,GSW,2018-10-21,100,DEN,1,0.034207375636454485,74,117.5,0.6539792387543253,113.0,0.0,0.38022813688212925
38,112,HOU,2018-10-21,115,LAC,1,0.03958436417615041,76,109.0,0.46511627906976744,111.5,1.0,0.574468085106383
39,106,CHA,2018-10-22,127,TOR,1,0.03980815347721833,78,108.25,0.23980815347721823,116.75,1.0,0.8
40,93,ORL,2018-10-22,90,BOS,0,0.04004335435963169,80,100.25,0.14064697609001406,111.25,1.0,0.8993963782696177
41,91,IND,2018-10-22,101,MIN,1,0.04140786749482395,82,113.75,0.47619047619047616,115.75,1.0,0.5652173913043478
42,113,NYK,2018-10-22,124,MIL,1,0.040056022408963665,84,107.75,0.1400560224089636,119.25,1.0,0.9
43,109,CHI,2018-10-22,115,DAL,1,0.03703703703703698,86,112.0,0.37037037037037035,117.0,1.0,0.6666666666666666
44,92,MEM,2018-10-22,84,UTA,0,0.040016501650165015,88,101.25,0.16501650165016502,112.25,1.0,0.875
45,125,WAS,2018-10-22,124,POR,0,0.03373819163292846,90,111.75,0.38461538461538464,116.25,1.0,0.6491228070175439
46,143,SAS,2018-10-22,142,LAL,0,0.04140786749482395,92,112.25,0.47619047619047616,114.25,1.0,0.5652173913043478
47,103,PHX,2018-10-22,123,GSW,1,0.040054148749800955,94,107.5,0.11148272017837235,120.0,1.0,0.9285714285714286
48,132,PHI,2018-10-23,133,DET,1,0.045454545454545414,96,107.75,0.5454545454545454,106.75,0.0,0.5
49,109,LAC,2018-10-23,116,NOP,1,0.04017793083656196,98,116.0,0.33003300330033003,121.5,1.0,0.7101449275362319
50,112,SAC,2018-10-23,126,DEN,1,0.040056022408963665,100,108.75,0.1400560224089636,120.75,1.0,0.9
51,102,BKN,2018-10-24,86,CLE,0,0.03628117913832196,102,111.75,0.4444444444444444,114.25,1.0,0.5918367346938775
52,104,DAL,2018-10-24,111,ATL,1,0.04140786749482395,104,118.75,0.5652173913043478,116.75,0.0,0.47619047619047616
53,87,NYK,2018-10-24,110,MIA,1,0.050000000000000044,106,105.0,0.25,113.0,1.0,0.8
54,105,MIN,2018-10-24,112,TOR,1,0.04481792717086841,108,109.0,0.23529411764705882,117.5,1.0,0.8095238095238095
55,110,CHA,2018-10-24,112,CHI,1,0.03703703703703698,110,117.0,0.6666666666666666,112.5,0.0,0.37037037037037035
56,100,UTA,2018-10-24,89,HOU,0,0.04707884288145214,112,108.25,0.5121951219512195,109.25,1.0,0.5348837209302325
57,116,IND,2018-10-24,96,SAS,0,0.04336043360433606,114,104.5,0.4878048780487805,106.0,1.0,0.5555555555555556
58,108,PHI,2018-10-24,123,MIL,1,0.044642857142857206,116,111.75,0.35714285714285715,116.75,1.0,0.6875
59,131,LAL,2018-10-24,113,PHX,0,0.04784688995215314,118,121.75,0.696969696969697,116.25,0.0,0.3508771929824561
60,92,MEM,2018-10-24,97,SAC,1,0.037878787878787845,120,111.5,0.5833333333333334,109.0,0.0,0.45454545454545453
61,122,WAS,2018-10-24,144,GSW,1,0.048484848484848575,122,112.75,0.18181818181818182,122.75,1.0,0.8666666666666667
62,103,CLE,2018-10-25,110,DET,1,0.04385964912280693,124,103.5,0.21052631578947367,113.0,1.0,0.8333333333333334
63,128,POR,2018-10-25,114,ORL,0,0.03779289493575222,126,108.5,0.6296296296296297,105.0,0.0,0.40816326530612246
64,101,BOS,2018-10-25,95,OKC,0,0.04761904761904767,128,109.5,0.5238095238095238,109.5,0.5,0.5238095238095238
65,114,DEN,2018-10-25,121,LAL,1,0.045454545454545414,130,118.25,0.5454545454545454,116.75,0.0,0.5
66,106,CHI,2018-10-26,135,CHA,1,0.048484848484848575,132,106.25,0.18181818181818182,116.75,1.0,0.8666666666666667
67,107,DAL,2018-10-26,116,TOR,1,0.042424242424242475,134,105.0,0.13333333333333333,116.5,1.0,0.9090909090909091
