,AWAY_PTS,AWAY_TEAM,DATE,HOME_PTS,HOME_TEAM,HOME_TEAM_WINS,MARGIN,OLD_INDEX,PRED_AWAY_PTS,PRED_AWAY_WIN_PROB,PRED_HOME_PTS,PRED_HOME_TEAM_WINS,PRED_HOME_WIN_PROB
0,122,NOP,2019-10-22,130,TOR,1,0.03987240829346095,0,111.5,0.30303030303030304,118.0,1.0,0.7368421052631579
1,102,LAL,2019-10-22,112,LAC,1,0.04285714285714293,2,113.75,0.6428571428571429,110.25,0.0,0.4
2,119,DET,2019-10-23,110,IND,0,0.044117647058823595,4,102.0,0.29411764705882354,109.0,1.0,0.75
3,85,CLE,2019-10-23,94,ORL,1,0.04615384615384621,6,101.0,0.2,110.5,1.0,0.8461538461538461
4,125,CHI,2019-10-23,126,CHA,1,0.03779289493575222,8,110.0,0.6296296296296297,106.5,0.0,0.40816326530612246
5,93,BOS,2019-10-23,107,PHI,1,0.05070993914807298,10,104.5,0.3448275862068966,110.0,1.0,0.7058823529411765
6,101,MEM,2019-10-23,120,MIA,1,0.044117647058823595,12,103.25,0.29411764705882354,109.75,1.0,0.75
7,127,MIN,2019-10-23,126,BKN,0,0.03586464992983007,14,112.75,0.4132231404958678,116.25,1.0,0.6226415094339622
8,111,NYK,2019-10-23,120,SAS,1,0.04235294117647048,16,101.75,0.16,112.75,1.0,0.8823529411764706
9,100,WAS,2019-10-23,108,DAL,1,0.04040404040404044,18,105.5,0.2222222222222222,114.5,1.0,0.8181818181818182
10,95,OKC,2019-10-23,100,UTA,1,0.04385964912280693,20,106.25,0.21052631578947367,115.25,1.0,0.8333333333333334
11,95,SAC,2019-10-23,124,PHX,1,0.04707884288145214,22,116.75,0.5348837209302325,115.75,0.0,0.5121951219512195
12,108,DEN,2019-10-23,100,POR,0,0.045454545454545414,24,109.5,0.5454545454545454,108.0,0.0,0.5
13,117,ATL,2019-10-24,100,DET,0,0.04336043360433606,26,110.0,0.4878048780487805,111.5,1.0,0.5555555555555556
14,117,MIL,2019-10-24,111,HOU,0,0.045454545454545414,28,114.75,0.5,116.25,1.0,0.5454545454545454
15,141,LAC,2019-10-24,122,GSW,0,0.04761904761904767,30,114.75,0.5238095238095238,114.75,0.5,0.5238095238095238
16,106,TOR,2019-10-25,112,BOS,1,0.037878787878787845,32,105.25,0.45454545454545453,107.75,1.0,0.5833333333333334
17,121,MIN,2019-10-25,99,CHA,0,0.044642857142857206,34,115.0,0.6875,110.0,0.0,0.35714285714285715
