,AWAY_PTS,AWAY_TEAM,DATE,HOME_PTS,HOME_TEAM,HOME_TEAM_WINS,MARGIN,OLD_INDEX,PRED_AWAY_PTS,PRED_AWAY_WIN_PROB,PRED_HOME_PTS,PRED_HOME_TEAM_WINS,PRED_HOME_WIN_PROB
0,95,CLE,2015-10-27,97,CHI,1,0.027472527472527597,0,97.25,0.38461538461538464,101.25,1.0,0.6428571428571429
1,106,DET,2015-10-27,94,ATL,0,0.043594902749832354,2,94.75,0.28169014084507044,101.75,1.0,0.7619047619047619
2,95,NOP,2015-10-27,111,GSW,1,0.040477636106051484,4,102.25,0.16393442622950818,112.75,1.0,0.8765432098765432
3,88,WAS,2015-10-28,87,ORL,0,0.027472527472527597,6,103.25,0.6428571428571429,99.25,0.0,0.38461538461538464
4,95,PHI,2015-10-28,112,BOS,1,0.039682539682539764,8,92.75,0.1111111111111111,105.25,1.0,0.9285714285714286
5,99,IND,2015-10-28,106,TOR,1,0.040475588160890474,10,97.0,0.3389830508474576,102.5,1.0,0.7014925373134329
6,115,CHI,2015-10-28,100,BKN,0,0.03576751117734722,12,100.75,0.6721311475409836,95.75,0.0,0.36363636363636365
7,94,CHA,2015-10-28,104,MIA,1,0.04480286738351258,14,93.5,0.3225806451612903,100.0,1.0,0.7222222222222222
8,87,UTA,2015-10-28,92,DET,1,0.04707884288145214,16,95.5,0.5121951219512195,95.5,0.5,0.5348837209302325
9,106,SAS,2015-10-28,112,OKC,1,0.026481297583581753,18,101.5,0.37735849056603776,105.5,1.0,0.6491228070175439
10,122,NYK,2015-10-28,97,MIL,0,0.03576751117734722,20,95.0,0.36363636363636365,99.5,1.0,0.6721311475409836
11,105,DEN,2015-10-28,85,HOU,0,0.040477636106051484,22,100.5,0.16393442622950818,111.0,1.0,0.8765432098765432
12,106,CLE,2015-10-28,76,MEM,0,0.03341687552213868,24,92.0,0.3508771929824561,97.0,1.0,0.6825396825396826
13,94,NOP,2015-10-28,112,POR,1,0.04336043360433606,26,102.25,0.4878048780487805,104.25,1.0,0.5555555555555556
14,111,DAL,2015-10-28,95,PHX,0,0.04480286738351258,28,98.5,0.3225806451612903,104.5,1.0,0.7222222222222222
15,111,LAC,2015-10-28,104,SAC,0,0.04179728317659359,30,108.75,0.696969696969697,103.25,0.0,0.3448275862068966
16,112,MIN,2015-10-28,111,LAL,0,0.037878787878787845,32,100.0,0.45454545454545453,102.5,1.0,0.5833333333333334
17,112,MEM,2015-10-29,103,IND,0,0.03628117913832196,34,97.0,0.5918367346938775,94.0,0.0,0.4444444444444444
18,112,ATL,2015-10-29,101,NYK,0,0.026481297583581753,36,101.75,0.6491228070175439,97.25,0.0,0.37735849056603776
19,88,DAL,2015-10-29,104,LAC,1,0.03809523809523818,38,100.25,0.13333333333333333,112.25,1.0,0.9047619047619048
20,92,MIA,2015-10-30,102,CLE,1,0.03341687552213868,40,98.0,0.3508771929824561,102.5,1.0,0.6825396825396826
21,99,UTA,2015-10-30,71,PHI,0,0.0424836601307188,42,96.75,0.7647058823529411,89.25,0.0,0.2777777777777778
22,139,OKC,2015-10-30,136,ORL,0,0.034946236559139754,44,106.5,0.7849462365591398,99.0,0.0,0.25
23,113,TOR,2015-10-30,103,BOS,0,0.04140786749482395,46,99.0,0.47619047619047616,101.0,1.0,0.5652173913043478
24,94,CHI,2015-10-30,98,DET,1,0.03628117913832196,48,103.0,0.5918367346938775,100.5,0.0,0.4444444444444444
25,118,WAS,2015-10-30,113,MIL,0,0.03958436417615041,50,101.0,0.574468085106383,99.0,0.0,0.46511627906976744
26,94,CHA,2015-10-30,97,ATL,1,0.028520499108734443,52,95.25,0.39215686274509803,99.25,1.0,0.6363636363636364
27,75,BKN,2015-10-30,102,SAS,1,0.04117647058823537,54,94.25,0.1,107.75,1.0,0.9411764705882353
28,95,MIN,2015-10-30,78,DEN,0,0.03205128205128216,56,100.25,0.4166666666666667,103.75,1.0,0.6153846153846154
29,112,GSW,2015-10-30,92,HOU,0,0.04707884288145214,58,108.75,0.5348837209302325,107.75,0.0,0.5121951219512195
30,114,LAL,2015-10-30,132,SAC,1,0.042941492216854504,60,102.5,0.2898550724637681,109.5,1.0,0.7530864197530864
31,92,POR,2015-10-30,110,PHX,1,0.03703703703703698,62,100.0,0.37037037037037035,104.5,1.0,0.6666666666666666
32,97,UTA,2015-10-31,76,IND,0,0.03205128205128216,64,94.5,0.4166666666666667,98.5,1.0,0.6153846153846154
33,117,NYK,2015-10-31,110,WAS,0,0.03968253968253954,66,99.0,0.2777777777777778,106.0,1.0,0.7619047619047619
34,134,GSW,2015-10-31,120,NOP,0,0.03482587064676612,68,108.5,0.7014925373134329,103.0,0.0,0.3333333333333333
35,91,BKN,2015-10-31,101,MEM,1,0.029436872626652066,70,90.25,0.12422360248447205,102.25,1.0,0.9052132701421801
36,101,PHX,2015-10-31,90,POR,0,0.04336043360433606,72,101.0,0.4878048780487805,103.0,1.0,0.5555555555555556
37,109,SAC,2015-10-31,114,LAC,1,0.034885749171463365,74,102.75,0.17094017094017094,113.25,1.0,0.8639455782312925
38,94,ATL,2015-11-01,92,CHA,0,0.037878787878787845,76,98.75,0.5833333333333334,96.75,0.0,0.45454545454545453
39,95,SAS,2015-11-01,87,BOS,0,0.04480286738351258,78,104.25,0.7222222222222222,98.75,0.0,0.3225806451612903
40,87,MIL,2015-11-01,106,TOR,1,0.03921568627450989,80,97.5,0.3333333333333333,103.5,1.0,0.7058823529411765
41,89,HOU,2015-11-01,109,MIA,1,0.029629629629629672,82,101.75,0.4,105.75,1.0,0.6296296296296297
42,87,ORL,2015-11-01,92,CHI,1,0.034946236559139754,84,95.5,0.25,103.5,1.0,0.7849462365591398
43,93,DEN,2015-11-01,117,OKC,1,0.039682539682539764,86,100.5,0.1111111111111111,113.0,1.0,0.9285714285714286
44,103,DAL,2015-11-01,93,LAL,0,0.027472527472527597,88,108.5,0.6428571428571429,104.5,0.0,0.38461538461538464
45,107,CLE,2015-11-02,100,PHI,0,0.04074702886247872,90,104.0,0.9354838709677419,91.0,0.0,0.10526315789473684
46,94,SAS,2015-11-02,84,NYK,0,0.040385212799005865,92,104.75,0.7701149425287356,97.25,0.0,0.2702702702702703
47,103,MIL,2015-11-02,96,BKN,0,0.045454545454545414,94,97.75,0.5454545454545454,96.25,0.0,0.5
48,105,OKC,2015-11-02,110,HOU,1,0.027472527472527597,96,111.0,0.6428571428571429,106.5,0.0,0.38461538461538464
49,106,POR,2015-11-02,101,MIN,0,0.029629629629629672,98,100.25,0.4,103.75,1.0,0.6296296296296297
50,69,MEM,2015-11-02,119,GSW,1,0.034420289855072506,100,97.5,0.20833333333333334,106.5,1.0,0.8260869565217391
51,96,PHX,2015-11-02,102,LAC,1,0.03591465166568364,102,99.25,0.21321961620469082,108.25,1.0,0.8226950354609929
52,105,CHI,2015-11-03,130,CHA,1,0.029629629629629672,104,98.5,0.6296296296296297,95.0,0.0,0.4
53,98,ATL,2015-11-03,92,MIA,0,0.028520499108734443,106,96.5,0.39215686274509803,100.5,1.0,0.6363636363636364
54,94,IND,2015-11-03,82,DET,0,0.026481297583581753,108,98.0,0.37735849056603776,102.5,1.0,0.6491228070175439
55,103,ORL,2015-11-03,94,NOP,0,0.03576751117734722,110,100.25,0.36363636363636365,105.25,1.0,0.6721311475409836
56,102,TOR,2015-11-03,91,DAL,0,0.03958436417615041,112,103.75,0.574468085106383,101.75,0.0,0.46511627906976744
57,103,MEM,2015-11-03,89,SAC,0,0.026481297583581753,114,100.25,0.6491228070175439,96.25,0.0,0.37735849056603776
58,120,DEN,2015-11-03,109,LAL,0,0.034782608695652195,116,100.0,0.43478260869565216,103.0,1.0,0.6
59,99,SAS,2015-11-04,102,WAS,1,0.028520499108734443,118,102.5,0.6363636363636364,98.5,0.0,0.39215686274509803
60,98,BOS,2015-11-04,100,IND,1,0.041787676814107444,120,104.5,0.5633187772925764,102.5,0.0,0.4784688995215311
61,86,NYK,2015-11-04,96,CLE,1,0.038787878787878816,122,97.75,0.16,108.25,1.0,0.8787878787878788
62,87,BKN,2015-11-04,101,ATL,1,0.03843879361324665,124,95.0,0.2631578947368421,102.0,1.0,0.7752808988764045
63,87,PHI,2015-11-04,91,MIL,1,0.03529411764705892,126,93.0,0.23529411764705882,101.5,1.0,0.8
64,114,ORL,2015-11-04,119,HOU,1,0.03333333333333344,128,99.25,0.2,108.25,1.0,0.8333333333333334
65,103,TOR,2015-11-04,98,OKC,0,0.03556910569105698,130,102.5,0.24390243902439024,110.5,1.0,0.7916666666666666
66,108,POR,2015-11-04,92,UTA,0,0.044117647058823595,132,91.25,0.29411764705882354,98.25,1.0,0.75
67,97,SAC,2015-11-04,118,PHX,1,0.038019801980198054,134,99.75,0.19801980198019803,109.75,1.0,0.84
68,108,LAC,2015-11-04,112,GSW,1,0.03843879361324665,136,105.0,0.2631578947368421,112.5,1.0,0.7752808988764045
69,98,OKC,2015-11-05,104,CHI,1,0.04707884288145214,138,105.75,0.5121951219512195,106.75,1.0,0.5348837209302325
70,96,MIA,2015-11-05,84,MIN,0,0.027472527472527597,140,101.0,0.6428571428571429,96.5,0.0,0.38461538461538464
71,108,CHA,2015-11-05,94,DAL,0,0.029629629629629672,142,98.5,0.4,102.0,1.0,0.6296296296296297
72,96,UTA,2015-11-05,84,DEN,0,0.034782608695652195,144,97.0,0.6,94.0,0.0,0.43478260869565216
73,96,MEM,2015-11-05,115,POR,1,0.026481297583581753,146,98.75,0.6491228070175439,94.25,0.0,0.37735849056603776
74,87,TOR,2015-11-06,92,ORL,1,0.03921568627450989,148,101.25,0.7058823529411765,95.25,0.0,0.3333333333333333
75,104,LAL,2015-11-06,98,BKN,0,0.03337505214851899,150,102.25,0.425531914893617,105.25,1.0,0.6078431372549019
76,98,WAS,2015-11-06,118,BOS,1,0.04336043360433606,152,103.75,0.4878048780487805,105.75,1.0,0.5555555555555556
77,102,PHI,2015-11-06,108,CLE,1,0.03809523809523796,154,91.5,0.09523809523809523,105.0,1.0,0.9428571428571428
78,99,MIL,2015-11-06,92,NYK,0,0.045454545454545414,156,97.25,0.5,98.75,1.0,0.5454545454545454
79,87,MIA,2015-11-06,90,IND,1,0.04707884288145214,158,97.75,0.5348837209302325,96.75,0.0,0.5121951219512195
80,121,ATL,2015-11-06,115,NOP,0,0.037878787878787845,160,104.25,0.5833333333333334,101.75,0.0,0.45454545454545453
81,100,DET,2015-11-06,92,PHX,0,0.027472527472527597,162,97.25,0.38461538461538464,101.25,1.0,0.6428571428571429
82,116,HOU,2015-11-06,110,SAC,0,0.03703703703703698,164,111.75,0.6666666666666666,107.75,0.0,0.37037037037037035
83,104,DEN,2015-11-06,119,GSW,1,0.03353454057679417,166,97.0,0.047619047619047616,114.0,1.0,0.9859154929577465
84,102,MIN,2015-11-07,93,CHI,0,0.034420289855072506,168,96.25,0.20833333333333334,105.25,1.0,0.8260869565217391
85,105,ORL,2015-11-07,97,PHI,0,0.03628117913832196,170,97.0,0.5918367346938775,94.0,0.0,0.4444444444444444
