,AWAY_PTS,AWAY_TEAM,DATE,HOME_PTS,HOME_TEAM,HOME_TEAM_WINS,MARGIN,OLD_INDEX,PRED_AWAY_PTS,PRED_AWAY_WIN_PROB,PRED_HOME_PTS,PRED_HOME_TEAM_WINS,PRED_HOME_WIN_PROB
0,84,WAS,2012-10-30,94,CLE,1,0.03686635944700467,0,92.25,0.3225806451612903,98.25,1.0,0.7142857142857143
1,107,BOS,2012-10-30,120,MIA,1,0.030959752321981338,2,90.5,0.29411764705882354,97.0,1.0,0.7368421052631579
2,99,DAL,2012-10-30,91,LAL,0,0.03333333333333344,4,89.0,0.2,97.5,1.0,0.8333333333333334
3,90,IND,2012-10-31,88,TOR,0,0.045454545454545414,6,95.5,0.5454545454545454,94.5,0.0,0.5
4,75,DEN,2012-10-31,84,PHI,1,0.04140786749482395,8,99.75,0.5652173913043478,97.75,0.0,0.47619047619047616
5,105,HOU,2012-10-31,96,DET,0,0.03958436417615041,10,95.75,0.46511627906976744,98.25,1.0,0.574468085106383
6,99,SAS,2012-10-31,95,NOP,0,0.034776560598156925,12,96.75,0.7530864197530864,89.75,0.0,0.28169014084507044
7,87,SAC,2012-10-31,93,CHI,1,0.03184079601990053,14,92.25,0.29850746268656714,98.75,1.0,0.7333333333333333
8,94,DAL,2012-10-31,113,UTA,1,0.032558139534883734,16,93.25,0.23255813953488372,101.25,1.0,0.8
9,87,GSW,2012-10-31,85,PHX,0,0.037878787878787845,18,100.0,0.45454545454545453,102.0,1.0,0.5833333333333334
10,92,MEM,2012-10-31,101,LAC,1,0.028520499108734443,20,91.75,0.39215686274509803,96.25,1.0,0.6363636363636364
11,106,LAL,2012-10-31,116,POR,1,0.03958436417615041,22,97.0,0.574468085106383,95.0,0.0,0.46511627906976744
12,84,OKC,2012-11-01,86,SAS,1,0.04140786749482395,24,101.0,0.47619047619047616,103.0,1.0,0.5652173913043478
13,89,IND,2012-11-02,90,CHA,1,0.03571428571428559,26,95.0,0.75,88.0,0.0,0.2857142857142857
14,89,DEN,2012-11-02,102,ORL,1,0.03686635944700467,28,101.5,0.7142857142857143,95.5,0.0,0.3225806451612903
15,109,HOU,2012-11-02,102,ATL,0,0.044642857142857206,30,99.0,0.35714285714285715,104.0,1.0,0.6875
16,99,MIL,2012-11-02,88,BOS,0,0.037712130735386484,32,94.75,0.2702702702702703,101.75,1.0,0.7674418604651163
17,115,CHI,2012-11-02,86,CLE,0,0.034782608695652195,34,93.5,0.6,90.5,0.0,0.43478260869565216
18,86,UTA,2012-11-02,88,NOP,1,0.030804774740084806,36,97.5,0.6226415094339622,94.0,0.0,0.40816326530612246
19,80,SAC,2012-11-02,92,MIN,1,0.034782608695652195,38,96.25,0.43478260869565216,99.25,1.0,0.6
20,92,POR,2012-11-02,106,OKC,1,0.04040404040404044,40,98.0,0.2222222222222222,106.5,1.0,0.8181818181818182
21,84,MIA,2012-11-02,104,NYK,1,0.03472222222222232,42,102.25,0.7222222222222222,96.25,0.0,0.3125
22,89,DET,2012-11-02,92,PHX,1,0.03703703703703698,44,95.25,0.37037037037037035,99.75,1.0,0.6666666666666666
23,104,MEM,2012-11-02,94,GSW,0,0.024181264280274117,46,96.75,0.5192307692307693,95.25,0.0,0.504950495049505
24,105,LAC,2012-11-02,95,LAL,0,0.04140786749482395,48,96.75,0.5652173913043478,94.75,0.0,0.47619047619047616
25,89,BOS,2012-11-03,86,WAS,0,0.03921568627450989,50,98.25,0.7058823529411765,92.75,0.0,0.3333333333333333
26,98,SAC,2012-11-03,106,IND,1,0.035021158616664216,52,90.75,0.2597402597402597,98.25,1.0,0.7752808988764045
27,116,DEN,2012-11-03,119,MIA,1,0.036293981248109564,54,95.5,0.21978021978021978,104.0,1.0,0.8165137614678899
28,100,TOR,2012-11-03,107,BKN,1,0.03482587064676612,56,94.25,0.3333333333333333,99.75,1.0,0.7014925373134329
29,89,NOP,2012-11-03,82,CHI,0,0.03312135665076843,58,86.0,0.18018018018018017,95.5,1.0,0.8529411764705882
30,95,POR,2012-11-03,85,HOU,0,0.03595274781715463,60,100.25,0.3389830508474576,105.75,1.0,0.696969696969697
31,99,CHA,2012-11-03,126,DAL,1,0.0359820089955023,62,88.5,0.17391304347826086,98.5,1.0,0.8620689655172413
32,100,UTA,2012-11-03,110,SAS,1,0.0367816091954023,64,97.0,0.26666666666666666,104.5,1.0,0.7701149425287356
33,102,CLE,2012-11-03,105,MIL,1,0.03571428571428559,66,95.25,0.2857142857142857,102.25,1.0,0.75
