,AWAY_PTS,AWAY_TEAM,DATE,HOME_PTS,HOME_TEAM,HOME_TEAM_WINS,MARGIN,OLD_INDEX,PRED_AWAY_PTS,PRED_AWAY_WIN_PROB,PRED_HOME_PTS,PRED_HOME_TEAM_WINS,PRED_HOME_WIN_PROB
0,97,POR,2007-10-30,106,SAS,1,0.03333333333333344,0,88.25,0.1,101.25,1.0,0.9333333333333333
1,117,UTA,2007-10-30,96,GSW,0,0.045454545454545414,2,105.5,0.5,106.5,1.0,0.5454545454545454
2,95,HOU,2007-10-30,93,LAL,0,0.04179728317659359,4,102.0,0.696969696969697,97.0,0.0,0.3448275862068966
3,97,PHI,2007-10-31,106,TOR,1,0.034776560598156925,6,92.25,0.28169014084507044,98.75,1.0,0.7530864197530864
4,110,WAS,2007-10-31,119,IND,1,0.04336043360433606,8,102.5,0.5555555555555556,101.0,0.0,0.4878048780487805
5,83,MIL,2007-10-31,102,ORL,1,0.03669051550174274,10,95.25,0.2898550724637681,101.75,1.0,0.7468354430379747
6,103,CHI,2007-10-31,112,BKN,1,0.04336043360433606,12,92.25,0.4878048780487805,93.75,1.0,0.5555555555555556
7,92,DAL,2007-10-31,74,CLE,0,0.037878787878787845,14,93.25,0.5833333333333334,90.75,0.0,0.45454545454545453
8,104,SAS,2007-10-31,101,MEM,0,0.03686635944700467,16,103.75,0.7142857142857143,97.25,0.0,0.3225806451612903
9,90,SAC,2007-10-31,104,NOP,1,0.030476190476190546,18,90.5,0.19047619047619047,100.0,1.0,0.84
10,103,OKC,2007-10-31,120,DEN,1,0.02982292637465056,20,103.0,0.13793103448275862,114.5,1.0,0.8918918918918919
11,91,DET,2007-11-01,80,MIA,0,0.039787798408488007,22,91.25,0.6551724137931034,87.25,0.0,0.38461538461538464
12,106,HOU,2007-11-01,95,UTA,0,0.03205128205128216,24,95.0,0.4166666666666667,98.0,1.0,0.6153846153846154
13,106,PHX,2007-11-01,99,OKC,0,0.026936026936026813,26,118.25,0.8787878787878788,106.25,0.0,0.14814814814814814
14,99,MIL,2007-11-02,102,CHA,1,0.029629629629629672,28,96.25,0.4,100.25,1.0,0.6296296296296297
15,116,DET,2007-11-02,92,ORL,0,0.029629629629629672,30,89.75,0.4,93.75,1.0,0.6296296296296297
16,85,MIA,2007-11-02,87,IND,1,0.03184079601990053,32,92.75,0.29850746268656714,99.25,1.0,0.7333333333333333
17,106,TOR,2007-11-02,69,BKN,0,0.028520499108734443,34,94.75,0.39215686274509803,98.75,1.0,0.6363636363636364
18,94,DAL,2007-11-02,101,ATL,1,0.03686635944700467,36,98.25,0.7142857142857143,92.75,0.0,0.3225806451612903
19,106,NYK,2007-11-02,110,CLE,1,0.03686635944700467,38,90.0,0.3225806451612903,96.0,1.0,0.7142857142857143
20,83,WAS,2007-11-02,103,BOS,1,0.029855202268995296,40,99.0,0.2597402597402597,106.5,1.0,0.7701149425287356
21,93,POR,2007-11-02,113,NOP,1,0.03137254901960773,42,97.75,0.26666666666666666,105.25,1.0,0.7647058823529411
22,99,DEN,2007-11-02,91,MIN,0,0.030437539632213184,44,108.0,0.7894736842105263,100.5,0.0,0.24096385542168675
23,96,PHI,2007-11-02,85,CHI,0,0.03333333333333344,46,90.25,0.2,99.75,1.0,0.8333333333333334
24,80,SAC,2007-11-02,96,SAS,1,0.0293040293040292,48,88.25,0.07692307692307693,102.75,1.0,0.9523809523809523
25,119,LAL,2007-11-02,98,PHX,0,0.028137875590392936,50,103.75,0.21505376344086022,111.75,1.0,0.8130841121495327
26,114,GSW,2007-11-02,120,LAC,1,0.04336043360433606,52,104.75,0.4878048780487805,106.25,1.0,0.5555555555555556
27,93,BKN,2007-11-03,88,PHI,0,0.034782608695652195,54,94.75,0.6,91.75,0.0,0.43478260869565216
28,94,ORL,2007-11-03,82,WAS,0,0.04140786749482395,56,98.25,0.47619047619047616,99.25,1.0,0.5652173913043478
29,121,IND,2007-11-03,111,MEM,0,0.044642857142857206,58,103.0,0.35714285714285715,108.5,1.0,0.6875
30,72,CHI,2007-11-03,78,MIL,1,0.028520499108734443,60,98.5,0.6363636363636364,94.5,0.0,0.39215686274509803
31,80,POR,2007-11-03,89,HOU,1,0.03409090909090917,62,95.75,0.125,107.25,1.0,0.9090909090909091
32,102,SAC,2007-11-03,123,DAL,1,0.030241935483870996,64,86.75,0.0625,102.25,1.0,0.967741935483871
33,110,GSW,2007-11-03,133,UTA,1,0.0366300366300365,66,103.0,0.19047619047619047,112.5,1.0,0.8461538461538461
34,98,BOS,2007-11-04,95,TOR,0,0.04336043360433606,68,96.25,0.4878048780487805,97.75,1.0,0.5555555555555556
35,101,OKC,2007-11-04,115,LAC,1,0.03571428571428559,70,100.75,0.2857142857142857,107.25,1.0,0.75
36,93,MIN,2007-11-04,97,NYK,1,0.0293040293040292,72,92.0,0.21978021978021978,101.0,1.0,0.8095238095238095
37,90,CHA,2007-11-04,88,MIA,0,0.03205128205128216,74,91.5,0.4166666666666667,95.0,1.0,0.6153846153846154
38,91,ATL,2007-11-04,92,DET,1,0.03418803418803407,76,91.5,0.2564102564102564,99.5,1.0,0.7777777777777778
39,93,NOP,2007-11-04,88,DEN,0,0.03341687552213868,78,104.75,0.3508771929824561,109.75,1.0,0.6825396825396826
40,92,CLE,2007-11-04,103,PHX,1,0.03418803418803407,80,98.75,0.2564102564102564,106.25,1.0,0.7777777777777778
41,109,UTA,2007-11-04,119,LAL,1,0.04707884288145214,82,102.25,0.5121951219512195,103.25,1.0,0.5348837209302325
42,98,HOU,2007-11-05,107,DAL,1,0.03703703703703698,84,92.5,0.37037037037037035,97.0,1.0,0.6666666666666666
43,115,PHX,2007-11-06,83,CHA,0,0.03837543971858004,86,105.5,0.6610169491525424,101.5,0.0,0.37735849056603776
44,82,ATL,2007-11-06,87,BKN,1,0.039787798408488007,88,92.25,0.38461538461538464,96.25,1.0,0.6551724137931034
45,112,DEN,2007-11-06,119,NYK,1,0.03205128205128216,90,107.0,0.6153846153846154,104.0,0.0,0.4166666666666667
